,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,NFLX Position,NFLX Order,NFLX Filled Order,NFLX Trade Price,NFLX Cost to Trade,NFLX PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,AMZN Position,AMZN Order,AMZN Filled Order,AMZN Trade Price,AMZN Cost to Trade,AMZN PnL
2016-10-21,-0.4829650495999986,11.115961265634992,549344.6736123511,561833.449044,1111159.6126563512,-478,-16,-16,116.809998,2.4399959999999283,213.4400039999971,-283,-30,-30,122.5,7.035000000000082,-1206.9850000000015,-213,-3,-3,795.0,1.4910000000001447,-518.6009999999953,77,13,13,150.58,2.521999999999923,-135.8320000000011,-366,-5,-5,809.36,3.652499999999918,-3181.672499999985
2016-10-20,0.328415481614999,11.59892631523499,556688.231304351,545178.489076,1115989.2631523511,-462,3,3,116.860001,0.8939998499999888,27.608316150001794,-253,-13,-13,121.97,4.1924999999999555,-377.3324999999974,-210,8,8,803.3,3.5960000000002763,946.3839999999825,64,15,15,151.28,2.714999999999833,13.62500000000125,-361,4,4,813.99,1.499999999999909,2673.8700000000017
2016-10-19,-0.19735714498000193,11.270510833619989,549202.4397312012,556906.531395,1112705.1083362012,-465,-18,-18,117.25,2.4840018000000894,156.30505019999967,-240,-21,-21,118.25,5.585999999999933,-756.1259999999996,-218,2,2,798.86,1.8050000000000181,-1382.4049999999902,49,15,15,151.27,3.907500000000198,14.302499999999242,-365,-4,-4,820.4,2.048000000000138,-5.648000000028356
2016-10-18,-1.0082653583949965,11.467867978599994,561252.8702330012,548652.950447,1114678.6797860013,-447,7,7,118.18,1.0709989500000434,30.27991605000324,-219,37,37,116.63,8.047500000000252,-4789.567500000003,-220,12,12,787.85,6.2100000000002185,-3466.88999999999,34,8,8,150.02,1.419999999999891,-101.12000000000027,-361,6,6,822.11,3.6959999999997764,-1755.355999999975
2016-10-17,0.3770131830449982,12.47613333699499,556157.3429159513,558219.871362,1124761.3333699512,-454,-11,-11,117.33000200000001,1.6720005500000412,31.345330449999658,-256,-8,-8,100.5,1.5000000000000455,418.2600000000004,-232,1,1,779.8,0.49750000000003636,-333.5275000000148,26,9,9,154.45,1.5480000000000245,6.772000000000537,-367,-12,-12,821.5,8.86800000000012,3647.281999999996
2016-10-14,0.1551704645899995,12.09912015394999,557202.4728685012,550822.938671,1120991.2015395013,-443,-2,-2,117.879997,0.3720000999999911,-286.5193541000029,-248,3,3,101.59,0.7305000000000093,-312.3304999999987,-233,6,6,781.65,3.065999999999667,-103.04599999998013,17,8,8,154.47,1.5799999999999728,4.8299999999998535,-355,-1,-1,835.08,0.6294999999999845,2248.770499999977
2016-10-13,0.35797184227000045,11.943949689359991,561789.4973346011,556298.441323,1119439.4968936013,-441,-2,-2,116.790001,0.3230003000000011,157.3339227000013,-251,-6,-6,98.01,1.574999999999966,-193.74500000000089,-239,7,7,781.22,2.8244999999998983,1931.6654999999835,9,9,9,153.7,1.750500000000096,-1.570500000000004,-354,-3,-3,829.0,1.4355000000000928,1686.0345000000207
2016-10-12,-0.19935249899999935,11.58597784708999,554363.1484709013,562045.7882439999,1115859.7784709013,-439,-12,-12,117.349998,2.694002999999964,-446.65098999999805,-245,-13,-13,100.88,3.276000000000013,267.5440000000007,-246,0,0,783.76,0.0,-755.2199999999843,0,9,9,154.97,2.276999999999924,-3.8969999999999856,-351,-13,-13,834.0,9.711000000000627,-1055.3010000000118
2016-10-11,0.4815727102850014,11.785330346089989,559381.5973039013,547903.311281,1117853.3034609014,-427,17,17,117.699997,3.4254991500000758,-138.22539714999994,-232,-8,-8,102.31,1.50799999999997,626.0119999999989,-246,11,11,786.66,8.53049999999937,689.5695000000027,-9,4,4,156.73,0.7659999999999855,20.46400000000026,-338,-2,-2,841.02,0.6929999999999381,3617.9070000000124
2016-10-10,-0.41467157164000384,11.303757635804988,555708.3003540514,561514.521332,1113037.5763580515,-444,3,3,115.019997,0.4574994000000203,-886.8997164000049,-224,-16,-16,103.18,3.9599999999999,303.55999999999915,-257,4,4,777.71,2.1820000000001527,-2803.722000000004,-13,7,7,156.71,1.6939999999999715,-26.52400000000041,-336,-10,-10,843.25,5.249999999999545,-733.1300000000281
2016-10-07,0.11408094606500045,11.718429207444993,558863.1129684516,551850.839106,1117184.2920744515,-447,13,13,114.309998,2.0864993499999143,-83.53603934999532,-208,-19,-19,103.98,3.4104999999999226,27.87950000000027,-261,10,10,779.66,3.4699999999995725,433.10999999999376,-20,6,6,157.14,1.0619999999999892,21.578000000000223,-326,-4,-4,845.79,1.7220000000001163,741.7780000000056
2016-10-06,0.05489783754000214,11.604348261379993,555914.4349138014,557870.0895400001,1116043.4826138015,-460,6,6,113.699997,0.8910005999999897,-391.1891245999996,-189,-20,-20,104.97,5.53999999999985,196.9500000000016,-271,6,6,779.0,2.5260000000001583,-123.39599999999629,-26,8,8,156.84,1.24399999999996,5.876000000000556,-322,-7,-7,843.7,4.0424999999997455,860.7375000000151
2016-10-05,-0.39950019205500364,11.54945042383999,561503.1337724014,557038.931398,1115494.5042384015,-466,11,11,113.400002,2.0240005500000025,-29.72542055000178,-169,-15,-15,103.5,3.4350000000000733,-651.8949999999996,-277,12,12,779.31,4.692000000000644,-50.332000000022006,-34,9,9,157.07,2.1195000000000674,-28.689500000000088,-315,-6,-6,838.0,4.230000000000109,-3234.360000000013
2016-10-04,-0.040960193579998964,11.948950615894997,556553.0880669515,558492.68,1119489.5061589512,-477,4,4,113.059998,0.5540008000000057,-231.6754357999982,-154,-9,-9,103.19,3.3254999999999426,46.374499999998854,-289,7,7,776.03,2.995999999999822,-1145.7160000000015,-43,8,8,157.67,1.3399999999999637,47.63000000000049,-309,-10,-10,840.91,5.305000000000518,873.7850000000105
2016-10-03,0.13271064299999857,11.989910809474999,564550.5676137515,555904.598557,1119899.1080947514,-481,11,11,112.709999,1.9635000000000589,256.7094300000001,-145,-2,-2,98.0,0.4740000000000009,-593.1739999999998,-296,11,11,774.25,4.8674999999996995,1428.6525000000054,-51,11,11,158.06,2.078999999999985,69.85099999999895,-299,-3,-3,836.0,1.4325000000001638,165.06749999998095
