,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2016-10-11,0.19625436512500025,33.67000703971997,671433.7801262002,657200.623243,1336700.0703972,-1081,25,25,117.699997,5.037498750000111,-316.53734875000004,-22,10,10,156.73,1.9149999999999636,50.04500000000064,-621,18,18,786.66,13.95899999999897,1755.3510000000056,-853,-10,-10,49.28,1.2949999999999875,473.68499999999597
2016-10-10,-0.941518954120002,33.47375267459497,670343.16669995,677362.253318,1334737.52674595,-1106,-14,-14,115.019997,2.134997200000095,-2189.6405412000117,-32,16,16,156.71,3.8719999999999346,-63.71200000000099,-639,-2,-2,777.71,1.0910000000000764,-6935.37100000001,-843,-26,-26,49.46,3.5360000000000356,-226.46599999999668
2016-10-07,0.08130670900999937,34.415271628714976,672074.7984711503,666013.397816,1344152.71628715,-1092,-2,-2,114.309998,0.32099989999998685,-185.1199098999891,-48,13,13,157.14,2.300999999999976,52.39900000000053,-637,4,4,779.66,1.387999999999829,1121.2719999999829,-817,-19,-19,49.0,2.5840000000000263,-175.48400000000075
2016-10-06,-0.14737087436999907,34.333964919704975,670563.3946470503,670834.89891,1343339.6491970504,-1090,-17,-17,113.699997,2.5245016999999708,-907.0702436999993,-61,17,17,156.84,2.643499999999915,13.63650000000128,-641,-2,-2,779.0,0.8420000000000527,-245.77199999999146,-798,-18,-18,48.83,2.5830000000000295,-334.50300000000135
2016-10-05,-0.08659612034000529,34.48133579407497,673766.4768677503,667666.223219,1344813.3579407502,-1073,-8,-8,113.400002,1.4720004000000018,-51.92520340000401,-78,18,18,157.07,4.239000000000135,-63.57900000000022,-639,7,7,779.31,2.737000000000376,-48.457000000049746,-780,0,0,48.01,0.0,-701.9999999999989
2016-10-04,-0.3464551682199997,34.56793191441498,672666.0634041503,674183.94,1345679.3191441502,-1065,-16,-16,113.059998,2.216003200000023,-504.77918219999634,-96,15,15,157.67,2.512499999999932,106.987500000001,-646,1,1,776.03,0.4279999999999745,-2503.9180000000024,-780,-23,-23,47.1,2.852000000000021,-562.8419999999991
2016-10-03,0.3913367258000006,34.91438708263498,675497.4097773501,670976.2168529999,1349143.8708263505,-1049,-9,-9,112.709999,1.606500000000048,551.3097580000001,-111,20,20,158.06,3.7799999999999727,149.65999999999772,-647,1,1,774.25,0.4424999999999727,3062.9075000000116,-757,-5,-5,47.02,0.8600000000000136,149.4899999999968
2016-09-30,-0.3559006157999976,34.52305035683498,671460.1387683501,677582.23312,1345230.50356835,-1040,-38,-38,112.459999,7.599999999999785,-901.763157999997,-131,17,17,158.9,8.109000000000162,-118.4789999999975,-648,-9,-9,776.33,6.106499999999665,-1471.6664999999814,-752,-25,-25,46.33,4.987499999999976,-1067.0974999999996
2016-09-29,0.6735518599749957,34.87895097263497,672667.4917103503,664332.63,1348789.5097263502,-1002,-15,-15,113.160004,2.4074992499999013,1759.2795997499893,-148,20,20,158.63,4.389999999999759,15.449999999996976,-639,4,4,781.44,1.767999999999938,4184.16199999997,-727,-6,-6,46.8,0.8430000000000093,776.6270000000003
2016-09-28,-0.05399049115999642,34.205399112659975,672795.5442176,675397.717039,1342053.9911266002,-987,-13,-13,113.690002,1.8460026000000511,-842.8669115999969,-168,29,29,156.99,7.191999999999888,-268.93199999999683,-643,0,0,777.85,0.0,932.3500000000295,-721,-1,-1,46.58,0.1660000000000025,-360.45599999999996
2016-09-27,-0.679086949399997,34.259389603819976,676721.1921422001,677895.176104,1342593.8960382002,-974,-10,-10,113.0,1.9199979999999641,-205.25899399999636,-197,29,29,154.32,4.35000000000033,-563.8400000000045,-643,-3,-3,775.5,1.7505000000001474,-5656.280499999971,-720,-39,-39,45.52,5.459999999999967,-365.4899999999976
2016-09-26,0.8902007433299954,34.938476553219964,669434.3945682003,670361.287108,1349384.7655322002,-964,-53,-53,111.639999,13.885994699999888,-234.47406670000603,-226,25,25,154.46,4.162499999999767,234.83749999999978,-640,-11,-11,782.74,3.7290000000003602,8072.110999999962,-681,-37,-37,46.51,4.846999999999956,829.5329999999987
2016-09-23,0.21906360675000447,34.04827580988997,670699.7908319001,666903.4890889999,1340482.7580989003,-911,-15,-15,114.41999799999999,2.2050015000000798,1734.8085675000007,-251,21,21,155.62,3.70650000000021,290.213500000006,-629,7,7,786.59,4.693500000000268,194.63650000003696,-644,-15,-15,47.02,1.9124999999999446,-29.02249999999934
2016-09-22,-0.8282214538400003,33.82921220313997,672617.0983034003,675459.1926879999,1338292.1220314002,-896,-8,-8,114.349998,1.419998399999986,-953.7400383999939,-272,22,22,156.15,4.190999999999815,-175.5910000000033,-636,7,7,780.0,3.8009999999998856,-7019.901000000005,-629,-15,-15,46.99,2.242500000000028,-132.98250000000053
2016-09-21,-0.3632641170150051,34.65743365697997,676397.1827858004,674464.2826639999,1346574.3365698005,-888,-3,-3,113.849998,0.5415001499999932,18.055829849990598,-294,20,20,154.91,4.119999999999891,-330.8400000000037,-643,6,6,772.66,2.0400000000000547,-3102.370000000038,-614,-11,-11,47.0,1.5069999999999895,-217.4869999999996
2016-09-20,-0.35753621869999297,35.020697773994975,675045.3324299504,677715.46,1350206.9777399504,-885,-43,-43,113.050003,10.599500000000138,-24.53768699998766,-314,22,22,155.87,4.00399999999986,105.87600000000513,-649,-5,-5,769.0,2.889999999999759,-3692.17999999995,-603,-17,-17,47.04,2.320499999999943,35.47950000000257
2016-09-19,0.2690899215999951,35.37823399269497,674297.3582429504,668083.221684,1353782.3399269502,-842,-20,-20,115.190002,4.089995999999985,1129.5867159999877,-336,21,21,154.87,4.126499999999828,-371.8365000000002,-644,3,3,772.42,1.0635000000000219,2036.2364999999675,-586,-29,-29,46.62,3.697499999999893,-103.08750000000387
2016-09-16,0.34146331687499965,35.109144071094974,675867.5441349506,672700.848356,1351091.4407109504,-822,-9,-9,115.120003,1.9080022499999472,528.3436687500006,-357,19,19,155.04,4.864000000000113,656.6559999999976,-647,9,9,769.75,7.128000000000066,1874.321999999997,-557,-29,-29,46.6,3.958499999999903,355.3115000000011
2016-09-15,-1.0023293528099975,34.76768075421998,679846.5359162006,683619.37,1347676.8075422007,-813,22,22,113.860001,7.073001100000067,-3142.4555280999916,-376,16,16,154.3,3.5839999999999237,-612.9439999999944,-656,8,8,762.89,4.227999999999883,-6088.547999999988,-528,-37,-37,46.75,5.105999999999878,-179.34599999999898
2016-09-14,-0.42840235061499793,35.770010107029975,682207.2935553007,682963.1574949999,1357700.1010703007,-835,1,1,108.730003,0.17750015000000588,-3190.657506150006,-392,10,10,155.7,2.214999999999975,688.8049999999967,-664,-1,-1,759.61,0.6209999999999581,-1859.9009999999696,-491,-35,-35,46.89,4.689999999999962,77.73000000000084
2016-09-13,0.5396348177099956,36.19841245764497,676971.4087244505,677951.807492,1361984.1245764503,-836,29,29,107.510002,7.525502900000072,-2165.911322899991,-402,15,15,157.63,4.2675000000002115,1002.5924999999957,-663,4,4,764.48,3.6579999999998107,6200.291999999952,-456,-35,-35,46.9,6.194999999999936,359.37499999999886
2016-09-12,-0.9605727361400007,35.658777639934975,693170.5946693507,690268.46173,1356587.7763993507,-865,7,7,102.650002,1.606501399999968,-1996.4008614000034,-417,21,21,155.26,4.987499999999761,-1080.157499999997,-667,-1,-1,755.13,0.7789999999999736,-6248.429000000008,-421,-29,-29,46.64,4.349999999999918,-280.7399999999989
2016-09-09,1.3930327102500053,36.619350376074976,664486.0428887504,682545.777384,1366193.5037607506,-872,-50,-50,104.639999,10.074997500000222,2030.0051025000002,-438,-5,-5,158.03,1.1125000000000114,1443.817500000001,-666,-38,-38,770.1,16.662999999998238,10214.537000000055,-392,-39,-39,47.9,5.362500000000056,241.9674999999989
2016-09-08,0.658558329069997,35.22631766582497,684847.3441922505,659355.267534,1352263.1766582504,-822,3,3,107.25,0.553500299999999,2337.2597906999945,-433,35,35,160.55,6.579999999999785,1174.6899999999935,-628,19,19,778.59,8.10350000000019,3184.1764999999823,-353,-7,-7,47.46,0.9730000000000104,-110.54300000000079
2016-09-07,-0.14192185821999836,34.56775933675497,662335.3008925505,686359.0508249999,1345677.5933675505,-825,-44,-44,107.83000200000001,6.13800220000004,-544.9210822000001,-468,5,5,160.19,0.9375000000000284,-603.8574999999963,-647,-17,-17,780.0,11.049999999999226,-187.09999999998814,-346,-40,-40,47.0,5.999999999999886,-83.33999999999905
2016-09-06,-0.5808499796999993,34.709681194974976,689567.7964827506,665880.387657,1347096.8119497506,-781,17,17,107.900002,2.7029999999999577,17.841703000000127,-473,38,38,159.88,6.497999999999923,-397.43799999999123,-630,27,27,773.45,10.138499999999066,-5494.468500000002,-306,-13,-13,47.51,1.755000000000048,65.5649999999996
2016-09-02,-0.24882237460000511,35.29053117467497,662316.8589287505,688268.2423940001,1352905.3117467505,-798,-41,-41,107.699997,6.518999999999898,-764.7492459999999,-511,0,0,159.88,0.0,-5.110000000009876,-657,-23,-23,773.01,10.028000000000294,-1673.4980000000417,-293,-39,-39,47.5,6.3764999999999095,-44.86649999999947
2016-09-01,-0.18879778133500102,35.53935354927497,694948.4892777504,661755.5122709998,1355393.5354927508,-757,27,27,106.139999,3.9555013500001595,-481.949313349998,-511,43,43,158.32,7.3099999999997065,-320.48999999999785,-634,34,34,769.25,9.707000000001608,-1181.3270000000148,-254,-11,-11,47.82,1.6115000000000195,95.78850000000061
2016-08-31,0.1493549784000057,35.72815133060997,661861.5654661005,695192.138432,1357281.5133061006,-784,-54,-54,105.660004,8.099999999999847,-104.85821599999932,-554,-11,-11,159.66,1.8370000000000801,289.10300000000547,-668,-35,-35,767.01,16.8524999999986,1273.0675000000515,-243,-35,-35,47.96,4.742499999999964,36.23749999999929
2016-08-30,0.2650203432899956,35.57879635220996,694936.6691421006,660731.37,1355787.9635221004,-730,22,22,105.800003,3.465001100000035,617.5749328999948,-543,57,57,159.76,10.573499999999779,160.90649999999698,-633,30,30,769.33,15.554999999999836,2006.0249999999637,-208,-7,-7,47.22,0.9029999999999746,-134.30300000000008
2016-08-29,-0.2594183440349999,35.313776008919966,661461.0055772006,697595.3500000001,1353137.7600892005,-752,-53,-53,106.620003,9.64599734999982,63.63555965000998,-600,5,5,158.83,1.1475000000000364,-843.6975000000035,-663,-37,-37,768.74,22.62549999999835,-1782.6555000000058,-201,-28,-28,47.19,3.556000000000029,-31.46599999999979
2016-08-26,0.044630001344999136,35.573194352954964,694753.5093355507,660416.731398,1355731.9435295505,-699,23,23,107.410004,3.6799965499999305,440.36851344999025,-605,72,72,158.88,11.232000000000834,158.31800000000055,-626,28,28,769.0,14.994000000001325,-84.89399999999937,-173,-3,-3,46.83,0.35249999999999493,-67.49250000000009
2016-08-25,0.05806607780000314,35.528564351609965,662073.6749601009,696194.59,1355285.643516101,-722,-61,-61,107.389999,9.36349999999998,283.71577800000756,-677,-3,-3,159.0,0.578999999999968,283.6110000000108,-654,-38,-38,767.0,17.916999999998826,32.18300000001359,-170,-31,-31,46.51,3.9990000000001076,-18.84900000000045
2016-08-24,0.2892038324650017,35.47049827380996,692517.5320771007,659191.509339,1354704.9827381005,-661,7,7,108.57,0.9765003500000063,543.0028246499971,-674,63,63,159.89,9.796499999999686,829.0534999999868,-616,24,24,770.58,7.992000000001463,1531.048000000032,-139,-16,-16,46.63,1.9759999999999764,-11.065999999999041
2016-08-23,-0.026576670600003422,35.18129444134496,656943.6784214509,690685.1886639999,1351812.944413451,-668,-63,-63,108.589996,10.2375,-232.3152059999996,-737,-4,-4,160.33,0.6880000000000109,-190.98799999999326,-640,-33,-33,775.48,10.708500000001141,143.98149999995934,-123,-43,-43,46.9,5.374999999999939,13.554999999999307
