,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL
2016-04-27,-1.0444964089349908,-27.00641520306506,48355.18796934849,707923.34,729935.8479693485,-7237,-6773,-6773,96.0,1148.0231613499577,-10444.964089349909
2016-04-26,0.6557516578000032,-25.961918794130067,692370.7274186984,48418.399072,740380.8120586984,-464,6139,6139,103.910004,963.8230000000133,6557.516578000032
2016-04-25,-0.14621622060000686,-26.61767045193007,41036.548686698465,693843.2532060001,733823.2954806983,-6603,-6213,-6213,105.0,1199.109000000022,-1462.1622060000686
2016-04-22,0.49408858577499665,-26.471454231330068,694592.8561266984,41215.200000000004,735285.4576866984,-390,6115,6115,105.010002,1042.6084172500055,4940.885857749967
2016-04-21,0.5040834820900109,-26.965542817105064,28520.128333948403,689334.856505,730344.5718289485,-6505,-6239,-6239,106.93,1257.1578760999578,5040.834820900109
2016-04-20,0.04473028228999526,-27.469626299195074,697067.8367420485,28496.579202,725303.7370080485,-266,6206,6206,106.639999,1169.830069100032,447.3028228999526
2016-04-19,0.4943054383500031,-27.514356581485067,20379.29890514844,691921.545888,724856.4341851483,-6472,-6286,-6286,107.879997,1260.3414284999833,4943.054383500031
2016-04-18,0.48773605049999624,-28.00866201983507,699397.5807316484,19991.280558,719913.3798016484,-186,6065,6065,108.889999,1385.8525000000152,4877.360504999962
2016-04-15,1.3168588741049947,-28.49639807033507,109.12429264850084,686672.337498,715036.0192966484,-6251,-6267,-6267,112.110001,958.8500599500387,13168.588741049945
2016-04-14,0.15505604299500128,-29.81325694444006,700073.8305875985,-0.0,701867.4305555985,16,6377,6377,111.620003,1128.7267680500304,1550.5604299500128
2016-04-13,-0.9114146042999977,-29.968312987435063,3405.678320648413,712686.4463610001,700316.8701256484,-6361,-6330,-6330,110.800003,1215.3587339999772,-9114.146042999977
2016-04-12,-0.33321533719999824,-29.05689838313506,706075.5764786485,3423.6400620000004,709431.0161686485,-31,6460,6460,109.339996,1220.9396770000103,-3332.1533719999825
2016-04-11,-0.14996635580500553,-28.723683045935065,5763.417085648576,707648.800527,712763.1695406486,-6491,-6439,-6439,108.970001,1159.0196780500082,-1499.6635580500551
2016-04-08,-0.37537677724999513,-28.57371669013006,708586.5128906985,5650.320208,714262.8330986985,-52,6406,6406,108.910004,1377.2883984999712,-3753.7677724999517
2016-04-07,0.013963537260001567,-28.198339912880066,-1146.233922801464,700951.326458,718016.6008711985,-6458,-12918,-12918,109.949997,2441.505875399936,139.63537260001567
2016-04-06,0.7428420954750021,-28.212303450140066,1075.3719585983513,-0.0,717876.9654985984,6460,1,1,110.230003,0.1655002499999995,7428.42095475002
2016-04-05,-0.8461322295000026,-28.95514554561507,1185.767461848351,-0.0,710448.5445438483,6459,0,0,109.510002,0.0,-8461.322295000025
2016-04-04,0.7298942294849982,-28.109013316115067,1185.767461848351,-0.0,718909.8668388483,6459,-1,-1,110.41999799999999,0.1900001499999945,7298.942294849981
2016-04-01,0.64601179975,-28.838907545600065,1075.537463998351,-0.0,711610.9245439983,6460,2,2,108.779999,0.3020005000000026,6460.1179975000005
2016-03-31,-0.3681762005999956,-29.484919345350065,1293.399462498351,-0.0,705150.8065464983,6458,2,2,109.720001,0.38199999999998796,-3681.7620059999563
2016-03-30,1.214016509519991,-29.116743144750068,1513.2214644983512,-0.0,708832.5685524982,6456,-4,-4,108.650002,0.982000800000003,12140.16509519991
2016-03-29,1.6085387079999998,-30.330759654270054,1079.603457298351,-0.0,696692.4034572984,6460,0,0,104.889999,0.0,16085.387079999999
2016-03-28,-0.3100774159999908,-31.93929836227006,1079.603457298351,-0.0,680607.0163772984,6460,0,0,106.0,0.0,-3100.7741599999076
2016-03-24,-0.2970089051700067,-31.629220946270063,1079.603457298351,-0.0,683707.7905372983,6460,3,3,105.470001,0.4754997000000032,-2970.089051700067
2016-03-23,-0.38096558279999565,-31.332212041100053,1396.488959998351,-0.0,686677.8795889984,6457,0,0,106.480003,0.0,-3809.6558279999567
2016-03-22,0.5227494116549972,-30.951246458300062,1396.488959998351,-0.0,690487.5354169983,6457,-3,-3,105.25,0.6765004499999805,5227.494116549972
2016-03-21,-0.006473674189994732,-31.473995869955058,1081.415460448351,-0.0,685260.0413004484,6460,1,1,105.93,0.16549990000000606,-64.73674189994732
2016-03-18,0.07750477049999277,-31.467522195765067,1187.510960348351,-0.0,685324.7780423482,6459,0,0,106.339996,0.0,775.0477049999276
2016-03-17,-0.10992890901999519,-31.54502696626506,1187.510960348351,-0.0,684549.7303373483,6459,-2,-2,105.519997,0.3720001999999852,-1099.289090199952
2016-03-16,0.8980783538999928,-31.43509805724506,976.842966548351,-0.0,685649.0194275484,6461,0,0,104.610001,0.0,8980.783538999927
2016-03-15,1.3309692305000027,-32.333176411145054,976.842966548351,-0.0,676668.2358885484,6461,0,0,103.959999,0.0,13309.692305000026
2016-03-14,0.1680460689150023,-33.66414564164506,976.842966548351,-0.0,663358.5435835484,6461,3,3,101.910004,0.4169998500000134,1680.4606891500227
2016-03-11,0.7040976832400049,-33.83219171056006,1282.989978398351,-0.0,661678.0828943984,6458,-2,-2,102.239998,0.4089995999999985,7040.976832400049
2016-03-10,0.03225121987499714,-34.53628939380007,1078.918981998351,-0.0,654637.1060619983,6460,1,1,101.410004,0.1655002499999995,322.51219874997145
2016-03-09,0.05808878369999569,-34.56854061367507,1180.494486248351,-0.0,654314.5938632484,6459,1,1,101.309998,0.16799999999999785,580.8878369999569
2016-03-08,-0.5423849328149957,-34.62662939737506,1281.9724842483508,-0.0,653733.7060262484,6458,1,1,100.779999,0.193500149999997,-5423.849328149957
2016-03-07,-0.736349055155002,-34.084244464560065,1382.945983398351,-0.0,659157.5553543983,6457,-3,-3,102.389999,0.6569995499999834,-7363.49055155002
2016-03-04,0.9754612919999999,-33.34789540940506,1076.432985948351,-0.0,666521.0459059484,6460,0,0,102.370003,0.0,9754.61292
2016-03-03,0.48450449879999996,-34.32335670140506,1076.432985948351,-0.0,656766.4329859484,6460,6,6,100.58000200000001,0.9750000000000001,4845.044988
2016-03-02,0.14184489692499766,-34.80786120020507,1680.8879979483509,-0.0,651921.3879979483,6454,-5,-5,100.510002,1.3374997500000347,1418.4489692499765
